days_trending,publish_hour,publish_month,days_since_publish,view_count,like_count,comment_count,like_rate,comment_rate,engagement_rate,views_per_day,description_length,tag_count,duration_seconds,has_captions,made_for_kids,channel_subscriber_count,channel_video_count,channel_view_count,channel_age_days,title_length,title_word_count,title_has_number,title_has_question,title_has_exclamation,title_all_caps_word,title_has_brackets,title_emoji_count,region_encoded,publish_day_of_week_encoded,definition_encoded,license_encoded,default_language_encoded
2.0,13.0,4.0,1.0,1306608.0,25390.0,887.0,0.019432,0.000679,0.020111,1306608.0,1842.0,22.0,38.0,0,0,22300000.0,6971.0,22298745452.0,6103.0,88.0,14.0,0,0,0,1,0,0.0,4.058309037900875,3.997315436241611,3.985873919460257,3.9208677685950413,4.194213794954129
1.0,14.0,4.0,1.0,179100.0,4372.0,645.0,0.024411,0.003601,0.028012,179100.0,313.0,10.0,1218.0,0,0,4140000.0,811.0,900032009.0,1821.0,36.0,8.0,0,0,0,1,0,0.0,4.058309037900875,3.9951298701298703,3.985873919460257,3.9208677685950413,3.8413685847589423
1.0,14.0,4.0,1.0,334781.0,33864.0,3461.0,0.101153,0.010338,0.111491,334781.0,1244.0,12.0,1845.0,0,0,10200000.0,2329.0,4811403108.0,6999.0,39.0,8.0,1,0,0,0,0,0.0,4.109259259259259,3.8980978260869565,3.985873919460257,3.9208677685950413,3.76672
2.0,12.0,4.0,4.0,103473.0,204.0,2.0,0.001972,1.9e-05,0.001991,25868.25,1825.0,13.0,238.0,0,0,6210.0,276.0,13565148.0,273.0,39.0,7.0,0,0,0,0,1,0.0,4.109259259259259,3.8980978260869565,3.985873919460257,3.9208677685950413,3.76672
1.0,15.0,4.0,1.0,165193.0,7335.0,1068.0,0.044403,0.006465,0.050868,165193.0,1897.0,25.0,117.0,0,0,2340000.0,1216.0,650851602.0,6852.0,85.0,12.0,0,0,1,0,1,0.0,4.109259259259259,3.997315436241611,3.985873919460257,3.9208677685950413,3.8413685847589423
1.0,3.0,5.0,1.0,62298.0,5797.0,460.0,0.093053,0.007384,0.100437,62298.0,537.0,4.0,953.0,0,0,165000.0,41.0,8545826.0,878.0,51.0,9.0,0,0,0,0,0,0.0,4.058309037900875,4.034257748776509,3.985873919460257,3.9208677685950413,3.8413685847589423
1.0,11.0,4.0,1.0,299757.0,7294.0,768.0,0.0,0.0,0.0,0.0,160.0,0.0,3665.0,1,0,0.0,0.0,0.0,0.0,10.0,2.0,0,0,0,0,0,0.0,3.127344521224087,3.845890410958904,3.985873919460257,3.9208677685950413,3.76672
2.0,22.0,5.0,1.0,264550.0,19552.0,1837.0,0.073907,0.006944,0.080851,264550.0,1055.0,20.0,6235.0,0,0,442000.0,49.0,54980482.0,2039.0,73.0,13.0,1,0,0,1,1,0.0,3.127344521224087,4.034257748776509,3.985873919460257,3.9208677685950413,3.76672
1.0,6.0,5.0,1.0,554605.0,13357.0,934.0,0.024084,0.001684,0.025768,554605.0,778.0,40.0,658.0,0,0,7160000.0,1778.0,3967813012.0,2215.0,44.0,9.0,0,0,1,0,0,0.0,4.058309037900875,3.8346938775510204,3.985873919460257,3.9208677685950413,3.943224974948853
1.0,4.0,4.0,1.0,135299.0,10508.0,730.0,0.077665,0.005395,0.08306,135299.0,618.0,6.0,599.0,0,0,2080000.0,1058.0,608241831.0,3250.0,43.0,7.0,1,0,0,1,0,0.0,3.127344521224087,3.9951298701298703,3.985873919460257,3.9208677685950413,4.039855072462944
1.0,12.0,5.0,1.0,55425.0,2946.0,303.0,0.053153,0.005467,0.05862,55425.0,842.0,23.0,721.0,0,0,11500000.0,541.0,4293245615.0,4660.0,59.0,11.0,0,0,0,1,0,0.0,4.109259259259259,3.8346938775510204,3.985873919460257,3.9208677685950413,3.76672
1.0,9.0,4.0,11.0,232803.0,7515.0,140.0,0.032281,0.000601,0.032882,21163.91,248.0,3.0,266.0,0,0,80.0,7.0,773459.0,1282.0,30.0,5.0,0,0,0,0,1,0.0,4.109259259259259,3.845890410958904,3.985873919460257,3.9208677685950413,3.76672
1.0,15.0,5.0,1.0,134696.0,2527.0,1.0,0.018761,7e-06,0.018768,134696.0,1180.0,47.0,18582.0,0,0,573000.0,3530.0,276332360.0,5493.0,62.0,13.0,0,0,0,1,0,0.0,4.87037037037037,3.8346938775510204,3.985873919460257,3.9208677685950413,4.871733966745843
2.0,20.0,4.0,1.0,88501.0,6741.0,386.0,0.076169,0.004362,0.08053,88501.0,284.0,0.0,123.0,0,0,369000.0,199.0,210126668.0,2659.0,38.0,6.0,1,0,0,0,1,0.0,3.127344521224087,3.963696369636964,3.985873919460257,3.9208677685950413,3.76672
5.0,19.0,4.0,1.0,763514.0,42713.0,2298.0,0.055943,0.00301,0.058952,763514.0,1550.0,18.0,1365.0,0,0,4300000.0,425.0,1458058682.0,2150.0,30.0,6.0,0,0,0,1,0,0.0,4.006849315068493,3.8346938775510204,3.985873919460257,3.9208677685950413,3.76672
1.0,16.0,4.0,1.0,49805.0,2477.0,195.0,0.049734,0.003915,0.053649,49805.0,479.0,8.0,1719.0,0,0,820000.0,1888.0,540446082.0,7323.0,60.0,12.0,0,1,0,1,0,0.0,4.058309037900875,3.963696369636964,3.985873919460257,3.9208677685950413,3.76672
1.0,19.0,4.0,1.0,149558.0,4639.0,268.0,0.031018,0.001792,0.03281,149558.0,192.0,3.0,3427.0,0,0,1370000.0,1692.0,1248279368.0,4595.0,46.0,8.0,0,0,0,0,0,0.0,4.058309037900875,3.845890410958904,3.985873919460257,3.9208677685950413,3.8413685847589423
1.0,21.0,5.0,1.0,115746.0,2084.0,144.0,0.018005,0.001244,0.019249,115746.0,175.0,19.0,973.0,0,0,4620000.0,839.0,886726960.0,1164.0,50.0,8.0,1,0,0,0,0,0.0,3.127344521224087,4.034257748776509,3.985873919460257,3.9208677685950413,3.76672
2.0,1.0,4.0,8.0,1221258.0,44043.0,1198.0,0.036064,0.000981,0.037045,152657.25,694.0,26.0,1694.0,1,0,4610000.0,66.0,271063886.0,2474.0,51.0,7.0,1,0,0,1,0,0.0,4.0939393939393875,3.8980978260869565,3.985873919460257,3.9208677685950413,3.76672
1.0,13.0,5.0,1.0,225759.0,2298.0,49.0,0.010179,0.0,0.010179,225759.0,614.0,7.0,11065.0,0,0,506000.0,2258.0,285860596.0,1360.0,28.0,8.0,1,0,0,1,0,0.0,4.87037037037037,3.8980978260869565,3.985873919460257,3.9208677685950413,4.871733966745843
1.0,23.0,4.0,1.0,22268.0,1665.0,203.0,0.074771,0.009116,0.083887,22268.0,4433.0,11.0,596.0,0,0,1460000.0,8191.0,788166287.0,4930.0,97.0,16.0,0,0,1,1,0,0.0,4.058309037900875,3.997315436241611,3.985873919460257,3.9208677685950413,3.76672
1.0,16.0,4.0,1.0,97898.0,8474.0,869.0,0.086559,0.008877,0.095436,97898.0,1255.0,22.0,1726.0,0,0,2410000.0,3169.0,1427458380.0,4424.0,16.0,4.0,0,0,0,0,0,0.0,4.006849315068493,3.8346938775510204,3.985873919460257,3.9208677685950413,3.76672
